#RAD_PIX,RAD_arcs,VROT_km/s,DISP_km/s,INC_deg,PA_deg_,Z0_pc,Z0_arcs,SIG_E20,X_POS_pix,Y_POS_pix,V_SYS_km/s,V_RAD_km/s
0.233,15,45.171,23.418,60,114.59,155.144,10,1,77,77,132.8,0
0.698,45,61.615,22.368,60,133.569,155.144,10,1,77,77,132.8,0
1.164,75,76.511,17.979,60,124.363,155.144,10,1,77,77,132.8,0
1.629,105,83.943,16.476,60,133.862,155.144,10,1,77,77,132.8,0
2.094,135,88.821,15.329,60,119.017,155.144,10,1,77,77,132.8,0
2.56,165,97.438,13.827,60,125.642,155.144,10,1,77,77,132.8,0
3.025,195,104.923,10.349,60,117.685,155.144,10,1,77,77,132.8,0
3.491,225,110.099,12.66,60,122.958,155.144,10,1,77,77,132.8,0
3.956,255,116.872,11.925,60,123.434,155.144,10,1,77,77,132.8,0
4.422,285,120.47,11.894,60,123.11,155.144,10,1,77,77,132.8,0
4.887,315,124.187,11.94,60,124.677,155.144,10,1,77,77,132.8,0
5.352,345,125.73,11.346,60,124.087,155.144,10,1,77,77,132.8,0
5.818,375,126.524,11.207,60,124.038,155.144,10,1,77,77,132.8,0
6.283,405,125.893,10.643,60,125.088,155.144,10,1,77,77,132.8,0
6.749,435,126.617,10.456,60,123.539,155.144,10,1,77,77,132.8,0
7.214,465,125.505,9.333,60,125.284,155.144,10,1,77,77,132.8,0
7.68,495,126.537,9.722,60,124.661,155.144,10,1,77,77,132.8,0
8.145,525,126.965,8.701,60,125.139,155.144,10,1,77,77,132.8,0
8.611,555,126.524,8.821,60,125.109,155.144,10,1,77,77,132.8,0
9.076,585,127.154,10.275,60,124.319,155.144,10,1,77,77,132.8,0
9.541,615,126.524,9.167,60,124.167,155.144,10,1,77,77,132.8,0
10.007,645,127.328,8.368,60,124.375,155.144,10,1,77,77,132.8,0
10.472,675,129.536,9.093,60,123.257,155.144,10,1,77,77,132.8,0
10.938,705,131.231,8.81,60,122.957,155.144,10,1,77,77,132.8,0
11.403,735,132.621,8.705,60,123.554,155.144,10,1,77,77,132.8,0
11.869,765,133.556,8.657,60,123.744,155.144,10,1,77,77,132.8,0
12.334,795,135.278,8.754,60,124.977,155.144,10,1,77,77,132.8,0
12.799,825,135.527,9.123,60,123.99,155.144,10,1,77,77,132.8,0
13.265,855,135.292,8.716,60,123.567,155.144,10,1,77,77,132.8,0
13.73,885,135.255,9.181,60,123.646,155.144,10,1,77,77,132.8,0
14.196,915,134.023,8.824,60,123.899,155.144,10,1,77,77,132.8,0
14.661,945,134.45,8.604,60,124.781,155.144,10,1,77,77,132.8,0
15.127,975,134.993,8.906,60,124.663,155.144,10,1,77,77,132.8,0
15.592,1005,135.951,8.547,60,124.239,155.144,10,1,77,77,132.8,0
16.057,1035,136.175,8.98,60,123.925,155.144,10,1,77,77,132.8,0
16.523,1065,136.189,8.729,60,123.925,155.144,10,1,77,77,132.8,0
16.988,1095,136.855,8.898,60,125.179,155.144,10,1,77,77,132.8,0
17.454,1125,136.543,8.369,60,122.933,155.144,10,1,77,77,132.8,0
17.919,1155,135.5,8.972,60,122.578,155.144,10,1,77,77,132.8,0
18.385,1185,134.166,8.403,60,122.244,155.144,10,1,77,77,132.8,0
18.85,1215,134.518,7.675,60,121.874,155.144,10,1,77,77,132.8,0
